,zip,walkscore,state,county,area_codes,country,latitude,longitude,irs_estimated_population
12326,28766,0,NC,Transylvania County,828,US,35.25,-82.62,1400
12327,28768,0,NC,Transylvania County,828,US,35.27,-82.67,5960
12329,28771,0,NC,Graham County,"423, 828, 865",US,35.32,-83.8,6470
12330,28772,13,NC,Transylvania County,"828, 864",US,35.14,-82.84,1590
12331,28773,0,NC,Polk County,"828, 864",US,35.23,-82.34,2860
12332,28774,0,NC,Jackson County,"828, 864",US,35.1,-83,1040
12333,28775,0,NC,Macon County,"706, 762, 828",US,35.01,-83.31,460
12335,28777,55,NC,Mitchell County,828,US,35.91,-82.06,7370
12336,28778,5,NC,Buncombe County,828,US,35.6,-82.39,8560
12337,28779,3,NC,Jackson County,828,US,35.37,-83.22,12890
12338,28781,0,NC,Macon County,828,US,35.22,-83.64,660
12339,28782,1,NC,Polk County,"828, 864",US,35.2,-82.23,5040
12340,28783,7,NC,Jackson County,828,US,35.27,-83.12,1160
12342,28785,0,NC,Haywood County,"423, 828, 865",US,35.63,-83.02,6710
12343,28786,8,NC,Haywood County,828,US,35.48,-82.99,17810
12344,28787,0,NC,Buncombe County,828,US,35.69,-82.55,19960
12346,28789,0,NC,Jackson County,828,US,35.43,-83.27,5000
12347,28790,0,NC,Henderson County,"828, 864",US,35.2,-82.48,2790
